ID,Hanja,Meaning,Eum,Filename,English_Prompt
151,角,뿔,각,hanja_horn.png,"A single cute, curled ram's horn made of soft pastel clay with rounded edges, looking gentle and plump. The horn is centered and fully contained within the frame, with adequate white space around it. Soft matte clay and ceramic mixed texture. 3D render."
152,感,느낄,감,hanja_feeling.png,"A plump heart shape made of soft clay, glowing warmly and emitting tiny smaller hearts showing different cute emotions like joy and surprise. The entire composition is centered and fits completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
153,强,강할,강,hanja_strong.png,"An adorable, flexing arm muscle character made of clay, showing off its rounded biceps with a determined grin. The entire character is centered and fully visible within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
154,開,열,개,hanja_open.png,"A treasure chest made of soft clay, bursting wide open with light and tiny, colorful toys floating out. The entire chest and toys are centered and fit fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
155,京,서울,경,hanja_capital.png,"A stylized, cute clay model of a grand traditional city gate with rounded roofs representing a capital. The entire gate is centered and fits completely within the frame with adequate white space. Soft matte clay and ceramic mixed texture. 3D render."
156,界,지경,계,hanja_boundary.png,"A clay globe divided down the middle by a cute, dashed line fence that emphasizes the boundary. The entire globe and fence are centered and fully contained within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
157,計,셀,계,hanja_count.png,"A cute abacus made of pastel clay, with rounded beads being slid by a tiny hand character. The entire abacus and hand are centered and fit completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
158,苦,쓸,고,hanja_bitter.png,"A cute face character with a comically scrunched-up expression and a tear, tasting a tiny, bitter-looking green herb. The entire scene is centered and fully contained in the frame. Soft matte clay and ceramic mixed texture. 3D render."
159,高,높을,고,hanja_high.png,"A tall stack of wobbly, colorful clay building blocks reaching up towards a tiny pastel cloud. The entire stack is centered and fits completely within the frame, with white space at the top and bottom. Soft matte clay and ceramic mixed texture. 3D render."
160,公,공변될,공,hanja_public.png,"A cute, balanced scale made of clay situated in a small, open public square setting. The entire scene is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
161,共,한가지,공,hanja_together.png,"A pair of cute hands holding a large, shared bowl of food, with two spoons dipped in it together. The entire bowl and hands are centered and fit completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
162,果,실과,과,hanja_fruit.png,"A cluster of cheerful, round, pastel-colored fruit characters like an apple, orange, and grape bunch with tiny smiling faces. The entire cluster is centered and fits completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
163,科,과목,과,hanja_subject.png,"A stack of colorful school books made of clay, each labeled with a different subject icon like a beaker, a globe, and a paintbrush. The entire stack is centered and fits fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
164,光,빛,광,hanja_light.png,"A brilliant, glowing orb of light made of clay, casting warm, soft rays and sparkles outwards. The entire orb and light rays are centered and fit completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
165,交,사귈,교,hanja_exchange.png,"Two cute hands exchanging two different items, like an apple for an orange, with arrows showing the swap. The entire exchange is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
166,區,구분할,구,hanja_district.png,"A map-like grid made of soft clay squares, with one distinct district section highlighted in a bright pastel color. The entire map is centered and fits fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
167,球,공,구,hanja_ball.png,"A bouncy, colorful beach ball made of soft clay, with alternating pastel stripes. The entire ball is centered and fits fully within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
168,郡,고을,군,hanja_county.png,"A cozy cluster of tiny village houses and farms nestled within a protective, rounded boundary wall. The entire village is centered and fully contained in the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
169,根,뿌리,근,hanja_root.png,"A whimsical carrot character showing its thick, rounded roots spreading out in a cute ball of soil. The entire character and roots are centered and fully contained within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
170,近,가까울,근,hanja_near.png,"A cute character with a magnifying glass, looking at a large, friendly object that is right in front of its face. The entire character and object are centered and fit completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
171,今,이제,금,hanja_now.png,"A clock made of clay with hands pointing to the present moment, and a big, bold 'NOW' text in a cute font. The entire clock is centered and fits completely within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
172,級,등급,급,hanja_level.png,"A set of podium stairs made of soft clay, with a cute trophy and the number '1' on the top step. The entire podium is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
173,多,많을,다,hanja_many.png,"An overflowing basket of tiny, colorful, rounded clay toys and candies, spilling out in abundance. The entire basket and spilling items are centered and fit fully within the frame. Soft matte clay and ceramic mixed texture. 3D render."
174,答,대답,답,hanja_answer.png,"A cheerful character holding up a sign with a big, green checkmark and a lightbulb icon representing an answer. The entire character and sign are centered and fit completely within the frame with white borders. Soft matte clay and ceramic mixed texture. 3D render."
175,道,길,도,hanja_road.png,"A winding cobblestone path made of pastel clay stones, leading towards a cute gate or sun in the distance. The entire path is centered and fits fully within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
176,讀,읽을,독,hanja_read.png,"A cozy character curled up in a plump armchair, engrossed in reading a large, open book made of clay. The entire character and chair are centered and fit completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
177,童,아이,동,hanja_child.png,"A joyful, chubby toddler character made of clay with rosy cheeks, playing with a pile of colorful, rounded toys. The entire toddler and toys are centered and fit completely within the frame. Soft matte clay and ceramic mixed texture. 3D render."
178,頭,머리,두,hanja_head.png,"A cute, round character head made of clay with big eyes and a friendly smile, floating and bobbing gently. The entire head is centered and fits fully within the frame with adequate white space. Soft matte clay and ceramic mixed texture. 3D render."
179,等,무리,등,hanja_class.png,"A group of identical, cute clay student characters sitting in neat rows at desks, listening to a teacher. The entire group is centered and fits completely within the frame with white space. Soft matte clay and ceramic mixed texture. 3D render."
180,落,떨어질,락,hanja_fall.png,"An autumn leaf made of clay, gracefully floating downwards with a few other leaves. The entire leaf group is centered and fits fully within the frame with padding. Soft matte clay and ceramic mixed texture. 3D render."
